"ID","VALUE"
"ID_DAY","Ngày"
"ID_R_U_SURE_EXIT","Bạn có muốn tiếp tục cải thiện cuộc sống ngoài đời thực không?"
"ID_GEMS","NGỌC"
"ID_CLEAN_ENERGY","NL sạch"
"ID_PERS_CARD","Thẻ nhân viên {0}"
"ID_RENOVATION","Hiện đại hóa"
"ID_RECONSTRUCTION_DESС","TOÀN BỘ CÁC CÔNG TRÌNH sẽ bị phá hủy. NHÂN VIÊN sẽ ở lại với bạn. Cấp nhân viên sẽ được LƯU. Hiệu quả của công trình mới sẽ được NHÂN ĐÔI!"
"ID_GO","OK"
"ID_LATER","Một Lát Sau"
"ID_GOOD","Tốt lắm"
"ID_OPEN_NEXT","MỞ TIẾP"
"ID_YOUR_REWARD","Phần Thưởng Của Bạn"
"ID_WATCH_AD","Xem QC"
"ID_QUEST_COMPLETE","Nhiệm vụ hoàn thành"
"ID_LEVEL_10","10 cấp."
"ID_AUTOPLAY_ENABLED","Kích hoạt
 tự động chơi"
"ID_INCOME","Thu nhập"
"ID_TUTOR_STEP_1","Xin chào! Hãy cùng nhau dọn sạch rác thải và ô nhiễm khỏi hành tinh này! Hãy nhấn vào khu vực này để vệ sinh."
"ID_TUTOR_STEP_2","Hãy xem mọi thứ đã trở nên sạch sẽ hơn thế nào kìa! Các tình nguyện viên không đứng yên. Họ sẽ giúp chúng ta thu thập năng lượng sạch! Nhấn hoặc vuốt công nhân để thu thập."
"ID_TUTOR_STEP_3","Tình nguyện viên làm tốt nhưng vẫn có thể tốt hơn! Hãy mở menu nâng cấp và tăng cấp cho họ. Nhấp vào biểu tượng nâng cấp."
"ID_TUTOR_STEP_4","Nâng cấp công trình sẽ tăng thu nhập. Nhấp vào bảng của công trình để nâng cấp."
"ID_TUTOR_STEP_5","Khi đạt cấp 10, công trình sẽ bắt đầu tự động hoạt động. Tất cả những gì bạn cần làm là thu thập năng lượng sạch. Nhấp vào biểu tượng nâng cấp để thoát khỏi chế độ thiết kế."
"ID_TUTOR_STEP_6","Còn bây giờ, hãy kiếm đủ năng lượng sạch để xây dựng công trình thứ hai. Công trình sẽ đem lại nhiều thu nhập hơn nữa!"
"ID_TUTOR_STEP_7","Tuyệt! Chúng ta có đủ năng lượng sạch rồi. Hãy xây dựng công trình thứ hai."
"ID_TUTOR_STEP_8","Bạn làm tốt lắm! Hãy tiếp tục cải tiến và xây dựng công trình. Nhìn kìa, vẫn còn nhiều việc phải làm!"
"ID_TUTOR_HINT_9","Đây là menu nhiệm vụ và mục tiêu. Bạn có thể theo dõi tiến trình ở đây."
"ID_TUTOR_HINT_10","Xin chúc mừng! Bạn đã hoàn thành nhiệm vụ đầu tiên! Hãy đến menu nhiệm vụ để nhận phần thưởng. Nhiệm vụ và mục tiêu là nguồn ngọc và va li ổn định."
"ID_TUTOR_HINT_11","Chào mừng đến với cửa hàng trong trò chơi! Đây là va li, chúng chứa rất nhiều thứ quý giá."
"ID_TUTOR_HINT_12","Đây là cường hóa. Thứ này có tác dụng tua nhanh thời gian cho phép bạn nhận rất nhiều thu nhập từ công trình."
"ID_TUTOR_HINT_13","Ở đây, bạn có thể kích hoạt cường hóa xanh cho phép tất cả các công trình hoạt động nhanh gấp đôi!"
"ID_TUTOR_HINT_14","Hoan hô! Bạn đã kiếm được thẻ nhân viên đầu tiên! Nhân viên sẽ tăng tốc độ hoạt động của công trình. Hãy mở menu nâng cấp và xem công trình nào hoạt động nhanh hơn."
"ID_TUTOR_HINT_15","Xin chúc mừng! Bạn đã có đủ thẻ để nâng cấp nhân viên lên cấp hai! Khi cải thiện, tốc độ của công trình sẽ tăng gấp đôi."
"ID_TUTOR_HINT_16","Tuyệt! Bạn đã đến giai đoạn rất quan trọng! Việc hiện đại hóa công trình sẽ giúp bạn kiếm được nhiều năng lượng sạch hơn nữa!"
"ID_TUTOR_HINT_17","Đây là menu nghiên cứu. Ở đây, bạn có thể khởi động các công trình phát triển khoa học sẽ đem đến cho bạn nhiều thu nhập."
"ID_TUTOR_HINT_18","Đây là Cây Sự Sống! Hãy giúp cây phát triển và mỗi nhánh cây sẽ cho bạn thêm ngọc!"
"ID_SPEED","Tốc Độ"
"ID_NOT_ENOUGH_ENERGY","Không đủ năng lượng"
"ID_NOT_ENOUGH_GEMS","Không đủ ngọc"
"ID_UPGRADE_CARD_DESC","Nâng cấp lên cấp {0}."
"ID_LOADING","Đang tải..."
"ID_PURCHASE_QUESTION","Mua?"
"ID_PACKAGE","Giao Hàng"
"ID_PUSH_COMEBACK","Hãy quay lại để thu thập Thưởng Hàng Ngày!"
"ID_PUSH_DAILY","Chúng tôi đang cố gắng làm cho hành tinh trở nên sạch sẽ nhưng không có bạn thì khó làm lắm! Hãy quay lại!"
"ID_PUSH_TITLE_COMEBACK","Cần giúp!"
"ID_PUSH_TITLE_DAILY","Phần thưởng hàng ngày đã sẵn sàng!"
"ID_RESEARCH","Ngh.Cứu"
"ID_HOURS","giờ"
"ID_RESEARCH_LAB_TITLE","Phòng thí nghiệm"
"ID_RESEARCH_LAB_DESC","Thời gian {0} giờ"
"ID_RESEARCH_GEO_TITLE","Địa lý"
"ID_RESEARCH_GEO_DESC","Thời gian {0} giờ"
"ID_RESEARCH_FIELD_TITLE","Hiện trường"
"ID_RESEARCH_FIELD_DESC","Thời gian {0} giờ"
"ID_RESEARCH_COMPLEX_TITLE","Tổng hợp"
"ID_RESEARCH_COMPLEX_DESC","Thời gian {0} giờ"
"ID_LAUNCH","Bắt đầu"
"ID_PERS_CARD_TITLE","Thẻ NV"
"ID_PERS_CARD_DESC","Mở va li để nhận thẻ"
"ID_IMPROVE","Nâng Cấp"
"ID_PERS_CARD_CHARS","Công trình:
 Tốc độ:
 Thu nhập:"
"ID_UNLOCK_PERS","Đã có hoạt động mới!
 “Nhân viên”"
"ID_UNLOCK_QUESTS","Đã có hoạt động mới!
 “Nhiệm vụ”"
"ID_UNLOCK_RESEARCH","Đã có hoạt động mới!
 “Nghiên cứu”"
"ID_UNLOCK_ECOBOOST","Đã có hoạt động mới!
 “Cường hóa xanh”"
"ID_UNLOCK_AIRDROP","Đã có hoạt động mới!
 “Khinh khí cầu”"
"ID_UNLOCK_COFFEE","Đã có hoạt động mới!
 “Cường hóa cà phê”"
"ID_UNLOCK_GEM_TREE","Đã có hoạt động mới!
 “Cây Sự Sống”"
"ID_PUSH_RESEARCH","Hãy quay lại để nhận phần thưởng"
"ID_PUSH_TITLE_RESEARCH","Nghiên cứu đã hoàn thành!"
"ID_Q_COLLECT_GEM_FRUITS","Thu thập {0} quả ngọc"
"ID_GEM_TREE","Cây Sự Sống"
"ID_JACKPOT","Độc Đắc"
"ID_NEW_LEVEL","Cấp mới!"
"ID_LEVEL","Cấp Độ"
"ID_INCOME_INCREASED","Thu nhập
 đã tăng lên!"
"ID_RATE_LIKE","Bạn có thích Clicker Tự Động không?"
"ID_RATE_RATE","Xếp hạng chúng tôi!"
"ID_RATE_NEVER_ASK","Không hỏi lại"
"ID_FORTUNE_TITLE","Vòng quay may mắn"
"ID_FW_FREE_AVAILABLE","Có lượt quay miễn phí"
"ID_FW_ROTATE","Quay"
"ID_CONGRADS","Xin chúc mừng!"
"ID_FWR_YOU_GET","Bạn vừa thắng được:"
"ID_FW_TIME_LEFT","Chờ lượt quay miễn phí"
"ID_INCOME_MULT","Thu nhập: <color=#B9FF58>{0}%</color>"
"ID_MODERN_SCORE","Điểm hiện đại hóa: <color=#B9FF58>{0}</color>"
"ID_MINI_QUESTS","Nhiệm vụ hàng ngày"
"ID_RESET_QUESTS","đặt lại sau: {0}"
"ID_AD_RESET","Cài Lại"
"ID_MOD_INCOME","Thu nhập hiện tại:"
"ID_MOD_SCORE","Điểm hiện đại hóa:"
"ID_MOD_SCORE_HINT","Điểm hiện đại hóa"
"ID_INCOME_AFTER","Thu nhập sau khi hiện đại hóa:"
"ID_MOD_SAVE","Sẽ lưu:
 + tiến trình nhân viên
 + ngọc
 + va li và cường hóa thời gian
 + tiến trình nghiên cứu"
"ID_MOD_LOST","Sẽ mất:
 - tiến trình công trình
 - năng lượng sạch
 - cường hóa xanh"
"ID_MOD_DESCR","Việc hiện đại hóa sẽ biến điểm hiện đại hóa thành thu nhập"
"ID_MOD_HINT_1","Điểm hiện đại hóa được tặng cho việc xây dựng công trình, nâng cấp công trình, cũng như thời gian dành cho trò chơi."
"ID_MOD_HINT_2","Việc hiện đại hóa sẽ biến điểm hiện đại hóa thành thu nhập, từ đó tăng thu nhập."
"ID_COMPLETED","Đã hoàn thành"
"ID_ACHIEVEMENTS","Thành tích"
"ID_MOD_BUBBLE","Đã đến lúc hiện đại hóa"
"ID_MOD_BUTTON_INC","thu nhập +{0}%"
"ID_RATE_SELECT_STARS","Chọn số sao"
"ID_RATE_APPLY","Tỷ lệ!"
"ID_GDPR_TITLE","Chờ một tí!"
"ID_GDPR_DESC","Trước chúng ta bắt đầu, bạn cần phải chấp thuận điều khoản dịch vụ của chúng tôi!"
"ID_GDPR_TERMS","Đọc điều khoản"
"ID_GDPR_APPLY","Chấp nhận"
"ID_UPGRADE_FOR_AD_DESCR","Nhận +{0} lên cấp cho {1}"
"ID_ACTIVATE","Kích hoạt"
"ID_LOCKED_SCREEN_DESCR","Để mở vị trí #{0}
xây dựng mọi đối tượng
trên vị trí #{1}"
"ID_LOCKED_SCREEN_CAPTION","Vị trí không khả dụng :("
"ID_BACK","Mặt sau"
"ID_UNLOCKED_SCREEN_DESCR1","Bạn đã xóa mọi
lô của vị trí # {0}!"
"ID_UNLOCKED_SCREEN_DESCR2","Vị trí # {0} hiện đã có sẵn!
Rất nhiều việc ở phía trước"
"ID_TIME_EVENT_INFO_REWARDS_TITLE","REWARDS"
"ID_TIME_EVENT_INFO_REWARDS_MORE","MORE"
"ID_TIME_EVENT_INFO_DESCR","You've got a message
from an island nearby: ''We need your help! On our island
critical pollution level! Hurry up! ''
Well, duty is calling!"
"ID_TIME_EVENT_INFO_LAUNCH","BEGIN!"
"ID_TIME_EVENT_INFO_TIMER","ends in: {0}"
"ID_DAYS","d."
"ID_MINUTES","m."
"ID_TIME_EVENT_REWARDS_DESCR","Collect stars
by improving objects"
"ID_TIME_EVENT_RESULTS_TITLE","REWARDS"
"ID_TIME_EVENT_RESULTS_DESCR","event
ended!"
"ID_TIME_EVENT_RESULTS_COLLECT","COLLECT!"
"ID_TIMEBOOST_1h","Booster 1h"
"ID_TIMEBOOST_4h","Booster 4h"
"ID_TIMEBOOST_24h","Booster 24h"
"ID_TIMEEVENT_EXIT","EXIT"
"ID_TIMEEVENT_ENDSIN","Ends in:"
"ID_TIME_EVENT_INFO_TITLE","NEW EVENT!"
